date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:42	13656/13656	---M--	200	added ('OK')	font/woff2	etag:%22f12f1f93bf08ecf1a7def1d0ce6599fe-ssl%22	https://basecola.com/_next/static/media/ibm-plex-mono-latin-400-normal.71a5fad3.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/ibm-plex-mono-latin-400-normal.71a5fad3.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:43	9348/9348	---M--	200	added ('OK')	font/woff2	etag:%22427c993a8f6da33dea8a7973c09bbbd5-ssl%22	https://basecola.com/_next/static/media/inter-cyrillic-ext-400-normal.ef671ae5.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-cyrillic-ext-400-normal.ef671ae5.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:44	128624/128624	---MCZ	200	added ('OK')	application/font-woff	etag:%223f029314831abda4101aedd216969d49-ssl-df%22	https://basecola.com/_next/static/media/inter-all-400-normal.f8403e6f.woff	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-all-400-normal.f8403e6f.woff	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:45	6164/6164	---M--	200	added ('OK')	font/woff2	etag:%22ee650eaf3e34d955ef03145356892ab2-ssl%22	https://basecola.com/_next/static/media/inter-cyrillic-400-normal.d9114304.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-cyrillic-400-normal.d9114304.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:47	4708/4708	---M--	200	added ('OK')	font/woff2	etag:%22a6cc82bb5a93f1dbeebe75f6273e69af-ssl%22	https://basecola.com/_next/static/media/inter-greek-ext-400-normal.2a16f6e2.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-greek-ext-400-normal.2a16f6e2.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:48	7952/7952	---M--	200	added ('OK')	font/woff2	etag:%225a5e80e45dd7f3f3e8fb9234cf5f74e8-ssl%22	https://basecola.com/_next/static/media/inter-greek-400-normal.ca762373.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-greek-400-normal.ca762373.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:50	3648/3648	---M--	200	added ('OK')	font/woff2	etag:%227f24f3098094ff6deeaf78ab379f5789-ssl%22	https://basecola.com/_next/static/media/inter-vietnamese-400-normal.de254776.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-vietnamese-400-normal.de254776.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:52	20464/20464	---M--	200	added ('OK')	font/woff2	etag:%22c132b45dd2ac13237048ab8fea7c17a9-ssl%22	https://basecola.com/_next/static/media/inter-latin-ext-400-normal.27017268.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-latin-ext-400-normal.27017268.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:54	16652/16652	---M--	200	added ('OK')	font/woff2	etag:%22f8180afab341125928a2ab76c6d6fb7b-ssl%22	https://basecola.com/_next/static/media/inter-latin-400-normal.c06b6ce0.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-latin-400-normal.c06b6ce0.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:56	10144/10144	---M--	200	added ('OK')	font/woff2	etag:%22473c8c41dfa80c2d6c326e64b88cd576-ssl%22	https://basecola.com/_next/static/media/inter-cyrillic-ext-500-normal.002cf23a.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-cyrillic-ext-500-normal.002cf23a.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:58	137916/137916	---MCZ	200	added ('OK')	application/font-woff	etag:%22d3d2d5d2cba7eefe1063980f57df017a-ssl-df%22	https://basecola.com/_next/static/media/inter-all-500-normal.90143606.woff	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-all-500-normal.90143606.woff	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:46:59	6548/6548	---M--	200	added ('OK')	font/woff2	etag:%220432800d1ecfd9aa9e794bac32c8eb6a-ssl%22	https://basecola.com/_next/static/media/inter-cyrillic-500-normal.8b635edd.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-cyrillic-500-normal.8b635edd.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:47:01	5140/5140	---M--	200	added ('OK')	font/woff2	etag:%225e860750192b218cc72da1e72238f573-ssl%22	https://basecola.com/_next/static/media/inter-greek-ext-500-normal.1aa8d006.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-greek-ext-500-normal.1aa8d006.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:47:04	8336/8336	---M--	200	added ('OK')	font/woff2	etag:%22d198bb3bca2191a0a8e3d0c266c0b619-ssl%22	https://basecola.com/_next/static/media/inter-greek-500-normal.e1ef86b1.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-greek-500-normal.e1ef86b1.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:47:06	3844/3844	---M--	200	added ('OK')	font/woff2	etag:%2230c0a32207de17481841705f0aea9fe0-ssl%22	https://basecola.com/_next/static/media/inter-vietnamese-500-normal.d65f20d3.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-vietnamese-500-normal.d65f20d3.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
13:47:09	22284/22284	---M--	200	added ('OK')	font/woff2	etag:%2258aad375eb5a943ba080b61762a4aeaf-ssl%22	https://basecola.com/_next/static/media/inter-latin-ext-500-normal.0eb4c2fd.woff2	C:/Users/USER/Desktop/NEWGMI/NEWGMI/basecola.com/_next/static/media/inter-latin-ext-500-normal.0eb4c2fd.woff2	(from https://basecola.com/_next/static/css/aca5deede9db69aa.css)
